"Schengen State","Country where consulate is located","Consulate","Number of Visa Applications (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas issued (including multiple ATVs, MEVs and LTVs)","Total ATVs and uniform visas not issued","Not issued rate for ATVs and uniform visas"
"Austria","KAZAKHSTAN","NUR-SULTAN","1,130","919","211","18.67%"
"Austria","KENYA","NAIROBI","400","284","116","29.00%"
"Austria","KUWAIT","KUWAIT","2,169","2,086","83","3.83%"
"Austria","LEBANON","BEIRUT","267","140","127","47.57%"
"Austria","MALAYSIA","KUALA LUMPUR","48","46","2","4.17%"
"Austria","MEXICO","MEXICO CITY","20","13","7","35.00%"
"Austria","MOROCCO","RABAT","127","125","2","1.57%"
"Austria","NIGERIA","ABUJA","467","429","38","8.14%"
"Austria","NORTH MACEDONIA","SKOPJE","878","750","128","14.58%"
"Austria","OMAN","MUSCAT","59","52","7","11.86%"
"Austria","PAKISTAN","ISLAMABAD","206","150","56","27.18%"
"Austria","PERU","LIMA","22","18","4","18.18%"
"Austria","PHILIPPINES","MANILA","343","280","63","18.37%"
"Austria","ROMANIA","BUCHAREST","66","60","6","9.09%"
"Austria","RUSSIAN FEDERATION","MOSCOW","9,651","9,274","377","3.91%"
"Austria","SAUDI ARABIA","RIYADH","6,712","6,584","128","1.91%"
"Austria","SENEGAL","DAKAR","190","107","83","43.68%"
"Austria","SERBIA","BELGRADE","625","593","32","5.12%"
"Austria","SLOVAKIA","BRATISLAVA","19","19","0",""
"Austria","SLOVENIA","LJUBLJANA","30","30","0",""
"Austria","SOUTH AFRICA","PRETORIA","1,044","959","85","8.14%"
"Austria","SOUTH KOREA","SEOUL","34","31","3","8.82%"
"Austria","SYRIA","DAMASCUS","104","32","72","69.23%"
"Austria","TAIWAN","TAIPEI","32","31","1","3.12%"
"Austria","THAILAND","BANGKOK","794","711","83","10.45%"
"Austria","TUNISIA","TUNIS","430","288","142","33.02%"
"Austria","TURKEY","ISTANBUL","4,321","3,712","609","14.09%"
"Austria","UKRAINE","KYIV","1,044","993","51","4.89%"
"Austria","UNITED ARAB EMIRATES","ABU DHABI","1,181","922","259","21.93%"
"Austria","UNITED KINGDOM","LONDON","879","853","26","2.96%"
"Austria","USA","LOS ANGELES, CA","191","182","9","4.71%"
"Austria","USA","NEW YORK, NY","243","209","34","13.99%"
"Austria","USA","WASHINGTON, DC","182","160","22","12.09%"
"Austria","VIETNAM","HANOI","105","101","4","3.81%"
"Belgium","ALGERIA","ALGIERS","1,208","620","267","30.10%"
"Belgium","ANGOLA","LUANDA","356","122","109","47.19%"
"Belgium","ARGENTINA","BUENOS AIRES","2","1","0",""
"Belgium","AUSTRALIA","CANBERRA","17","13","0",""
"Belgium","BELGIUM","BRUSSELS","16","9","0",""
"Belgium","BRAZIL","SAO PAULO","9","4","1","20.00%"
"Belgium","BULGARIA","SOFIA","108","89","11","11.00%"
"Belgium","BURKINA FASO","OUAGADOUGOU","585","442","71","13.84%"
"Belgium","BURUNDI","BUJUMBURA","719","473","191","28.77%"
"Belgium","CAMEROON","YAONDE","1,331","677","365","35.03%"
"Belgium","CANADA","MONTREAL","309","171","62","26.61%"
"Belgium","CHILE","SANTIAGO DE CHILE","12","8","0",""
"Belgium","CHINA","BEIJING","1,712","1,676","14","0.83%"
"Belgium","CHINA","GUANGZHOU (CANTON)","19","17","1","5.56%"
"Belgium","CHINA","SHANGHAI","59","54","0",""
"Belgium","COLOMBIA","BOGOTA","30","24","2","7.69%"
"Belgium","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","6,631","4,015","1,385","25.65%"
"Belgium","CONGO (DEMOCRATIC REPUBLIC)","LUBUMBASHI","457","368","52","12.38%"
"Belgium","COTE D'IVOIRE","ABIDJAN","964","482","286","37.24%"
"Belgium","CROATIA","ZAGREB","20","9","9","50.00%"
"Belgium","CUBA","HAVANA","288","217","43","16.54%"
"Belgium","EGYPT","CAIRO","550","191","228","54.42%"
"Belgium","ETHIOPIA","ADDIS ABEBA","402","275","55","16.67%"
"Belgium","FRANCE","PARIS","5","5","0",""
"Belgium","GERMANY","BERLIN","1","1","0",""
"Belgium","GREECE","ATHENS","1","1","0",""
"Belgium","HONG KONG S.A.R.","HONG KONG","103","99","3","2.94%"
"Belgium","HUNGARY","BUDAPEST","4","3","0",""
"Belgium","INDIA","MUMBAI","4,775","4,010","365","8.34%"
"Belgium","INDIA","NEW DELHI","1,613","1,284","195","13.18%"
"Belgium","INDONESIA","JAKARTA","166","132","27","16.98%"
"Belgium","IRAN","TEHERAN","307","99","106","51.71%"
"Belgium","IRELAND","DUBLIN","365","336","7","2.04%"
"Belgium","ISRAEL","JERUSALEM","116","62","20","24.39%"
"Belgium","ISRAEL","TEL AVIV","19","18","1","5.26%"
"Belgium","ITALY","ROME","1","0","1",""
"Belgium","JAMAICA","KINGSTON","207","163","6","3.55%"
"Belgium","JAPAN","TOKYO","36","28","5","15.15%"
"Belgium","JORDAN","AMMAN","796","409","190","31.72%"
"Belgium","KENYA","NAIROBI","374","292","57","16.33%"
"Belgium","KUWAIT","KUWAIT","610","499","34","6.38%"
"Belgium","LEBANON","BEIRUT","1,149","499","434","46.52%"
"Belgium","MALAYSIA","KUALA LUMPUR","14","12","1","7.69%"
"Belgium","MEXICO","MEXICO CITY","7","7","0",""
"Belgium","MOROCCO","CASABLANCA","327","220","182","45.27%"
"Belgium","MOROCCO","RABAT","1,664","803","444","35.61%"
"Belgium","NETHERLANDS","THE HAGUE","9","5","0",""
"Belgium","NIGERIA","ABUJA","760","339","232","40.63%"
"Belgium","PAKISTAN","ISLAMABAD","587","293","203","40.93%"
"Belgium","PANAMA","PANAMA CITY","7","4","0",""
"Belgium","PERU","LIMA","161","153","5","3.16%"
"Belgium","PHILIPPINES","MANILA","4,322","4,077","161","3.80%"
"Belgium","POLAND","WARSAW","4","3","1","25.00%"
"Belgium","PORTUGAL","LISBON","3","2","0",""
"Belgium","QATAR","DOHA","642","453","115","20.25%"
"Belgium","ROMANIA","BUCHAREST","60","32","14","30.43%"
"Belgium","RUSSIAN FEDERATION","MOSCOW","2,235","1,754","274","13.51%"
"Belgium","RWANDA","KIGALI","3,019","2,165","607","21.90%"
"Belgium","SAUDI ARABIA","RIYADH","663","558","65","10.43%"
"Belgium","SENEGAL","DAKAR","1,289","522","442","45.85%"
"Belgium","SERBIA","BELGRADE","16","12","1","7.69%"
"Belgium","SINGAPORE","SINGAPORE","80","71","3","4.05%"
"Belgium","SOUTH AFRICA","CAPE TOWN","266","210","9","4.11%"
"Belgium","SOUTH AFRICA","JOHANNESBURG","1","0","0",""
"Belgium","SOUTH AFRICA","PRETORIA","518","435","35","7.45%"
"Belgium","SOUTH KOREA","SEOUL","19","13","3","18.75%"
"Belgium","SPAIN","MADRID","47","46","2","4.17%"
"Belgium","SWITZERLAND","BERN","1","0","1",""
"Belgium","TAIWAN","TAIPEI","2","2","0",""
"Belgium","TANZANIA","DAR ES SALAAM","210","161","28","14.81%"
"Belgium","THAILAND","BANGKOK","648","396","216","35.29%"
"Belgium","TUNISIA","TUNIS","995","518","287","35.65%"
"Belgium","TURKEY","ISTANBUL","2,415","1,257","557","30.71%"
"Belgium","UGANDA","KAMPALA","245","191","37","16.23%"
"Belgium","UKRAINE","KYIV","165","95","47","33.10%"
"Belgium","UNITED ARAB EMIRATES","ABU DHABI","971","713","150","17.38%"
"Belgium","UNITED KINGDOM","LONDON","1,266","899","214","19.23%"
"Belgium","USA","ATLANTA, GA","104","83","5","5.68%"
"Belgium","USA","LOS ANGELES, CA","94","74","5","6.33%"
"Belgium","USA","NEW YORK, NY","355","285","23","7.47%"
"Belgium","USA","WASHINGTON, DC","194","168","4","2.33%"
"Belgium","VIETNAM","HANOI","133","115","6","4.96%"
"Czech Republic","AFGHANISTAN","KABUL","5","5","0",""
"Czech Republic","ALBANIA","TIRANA","7","4","3","42.86%"
"Czech Republic","ALGERIA","ALGIERS","75","45","30","40.00%"
"Czech Republic","ARGENTINA","BUENOS AIRES","1","1","0",""
"Czech Republic","ARMENIA","YEREVAN","475","398","76","16.03%"
"Czech Republic","AUSTRALIA","SYDNEY","6","6","0",""
"Czech Republic","AUSTRIA","VIENNA","3","3","0",""
"Czech Republic","AZERBAIJAN","BAKU","123","119","4","3.25%"
"Czech Republic","BELARUS","MINSK","3,571","3,558","13","0.36%"
"Czech Republic","BOSNIA AND HERZEGOVINA","SARAJEVO","17","17","0",""
"Czech Republic","BULGARIA","SOFIA","99","91","8","8.08%"
"Czech Republic","CANADA","OTTAWA","20","20","0",""
"Czech Republic","CANADA","TORONTO","48","48","0",""
"Czech Republic","CHILE","SANTIAGO DE CHILE","4","3","1","25.00%"
"Czech Republic","CHINA","BEIJING","140","140","0",""
"Czech Republic","CHINA","CHENGDU","6","6","0",""
"Czech Republic","CHINA","SHANGHAI","127","117","10","7.87%"
"Czech Republic","CROATIA","ZAGREB","1","1","0",""
"Czech Republic","CUBA","HAVANA","29","26","3","10.34%"
"Czech Republic","EGYPT","CAIRO","313","231","81","25.96%"
"Czech Republic","ETHIOPIA","ADDIS ABEBA","99","93","6","6.06%"
"Czech Republic","GEORGIA","TBILISSI","36","27","9","25.00%"
"Czech Republic","GERMANY","BERLIN","1","1","0",""
"Czech Republic","GHANA","ACCRA","60","47","13","21.67%"
"Czech Republic","HONG KONG S.A.R.","HONG KONG","8","7","1","12.50%"
"Czech Republic","INDIA","NEW DELHI","273","165","107","39.34%"
"Czech Republic","INDONESIA","JAKARTA","105","101","3","2.88%"
"Czech Republic","IRAN","TEHERAN","45","40","5","11.11%"
"Czech Republic","IRAQ","BAGHDAD","149","148","0",""
"Czech Republic","IRAQ","ERBIL","58","43","15","25.86%"
"Czech Republic","IRELAND","DUBLIN","61","60","1","1.64%"
"Czech Republic","ISRAEL","TEL AVIV","77","72","5","6.49%"
"Czech Republic","JAPAN","TOKYO","29","29","0",""
"Czech Republic","JORDAN","AMMAN","821","466","355","43.24%"
"Czech Republic","KAZAKHSTAN","NUR-SULTAN","330","288","42","12.73%"
"Czech Republic","KENYA","NAIROBI","77","73","4","5.19%"
"Czech Republic","KUWAIT","KUWAIT","874","743","130","14.89%"
"Czech Republic","LEBANON","BEIRUT","408","321","83","20.54%"
"Czech Republic","MALAYSIA","KUALA LUMPUR","5","5","0",""
"Czech Republic","MEXICO","MEXICO CITY","3","2","0",""
"Czech Republic","MOLDOVA","CHISINAU","553","546","7","1.27%"
"Czech Republic","MONGOLIA","ULAN BATOR","209","200","9","4.31%"
"Czech Republic","MOROCCO","RABAT","40","28","11","28.21%"
"Czech Republic","NIGERIA","ABUJA","181","122","51","29.48%"
"Czech Republic","NORTH MACEDONIA","SKOPJE","353","280","69","19.77%"
"Czech Republic","PAKISTAN","ISLAMABAD","115","91","22","19.47%"
"Czech Republic","PERU","LIMA","7","7","0",""
"Czech Republic","PHILIPPINES","MANILA","80","78","1","1.27%"
"Czech Republic","ROMANIA","BUCHAREST","24","20","4","16.67%"
"Czech Republic","RUSSIAN FEDERATION","MOSCOW","1,146","1,011","130","11.39%"
"Czech Republic","RUSSIAN FEDERATION","ST. PETERSBURG","170","157","13","7.65%"
"Czech Republic","RUSSIAN FEDERATION","YEKATERINBURG","100","85","15","15.00%"
"Czech Republic","SAUDI ARABIA","RIYADH","2,550","2,309","241","9.45%"
"Czech Republic","SENEGAL","DAKAR","51","37","13","26.00%"
"Czech Republic","SERBIA","BELGRADE","145","144","1","0.69%"
"Czech Republic","SLOVAKIA","BRATISLAVA","5","3","2","40.00%"
"Czech Republic","SOUTH AFRICA","PRETORIA","154","154","0",""
"Czech Republic","SOUTH KOREA","SEOUL","10","10","0",""
"Czech Republic","SYRIA","DAMASCUS","71","69","1","1.43%"
"Czech Republic","TAIWAN","TAIPEI","5","3","2","40.00%"
"Czech Republic","THAILAND","BANGKOK","98","93","5","5.10%"
"Czech Republic","TUNISIA","TUNIS","185","56","114","67.06%"
"Czech Republic","TURKEY","ANKARA","639","497","142","22.22%"
"Czech Republic","TURKEY","ISTANBUL","1,238","1,044","193","15.60%"
"Czech Republic","UKRAINE","KYIV","101,805","98,956","2,805","2.76%"
"Czech Republic","UKRAINE","LVIV","86,607","84,984","1,622","1.87%"
"Czech Republic","UNITED ARAB EMIRATES","ABU DHABI","1,443","1,065","378","26.20%"
"Czech Republic","UNITED KINGDOM","LONDON","417","406","11","2.64%"
"Czech Republic","USA","CHICAGO, IL","62","57","2","3.39%"
"Czech Republic","USA","LOS ANGELES, CA","65","64","1","1.54%"
"Czech Republic","USA","NEW YORK, NY","98","93","5","5.10%"
"Czech Republic","USA","WASHINGTON, DC","67","67","0",""
"Czech Republic","UZBEKISTAN","TASHKENT","127","98","29","22.83%"
"Czech Republic","VIETNAM","HANOI","54","45","9","16.67%"
"Czech Republic","ZAMBIA","LUSAKA","7","7","0",""
"Denmark","AFGHANISTAN","KABUL","12","12","0",""
"Denmark","AUSTRIA","VIENNA","4","3","0",""
"Denmark","BANGLADESH","DHAKA","143","103","16","13.45%"
"Denmark","BELGIUM","BRUSSELS","10","6","0",""
"Denmark","BURKINA FASO","OUAGADOUGOU","42","32","6","15.79%"
"Denmark","CHINA","BEIJING","45","45","0",""
"Denmark","CHINA","GUANGZHOU (CANTON)","810","668","104","13.47%"
"Denmark","CHINA","SHANGHAI","10","9","1","10.00%"
"Denmark","DENMARK","COPENHAGEN","826","687","9","1.29%"
"Denmark","EGYPT","CAIRO","612","453","96","17.49%"
"Denmark","FINLAND","HELSINKI","11","10","0",""
"Denmark","FRANCE","PARIS","8","8","0",""
"Denmark","GERMANY","BERLIN","6","5","0",""
"Denmark","GERMANY","FLENSBURG","14","12","0",""
"Denmark","GHANA","ACCRA","709","376","249","39.84%"
"Denmark","GREECE","ATHENS","4","3","1","25.00%"
"Denmark","ICELAND","REYKJAVIK","3","3","0",""
"Denmark","INDIA","NEW DELHI","2,586","2,050","382","15.71%"
"Denmark","INDONESIA","JAKARTA","400","350","42","10.71%"
"Denmark","IRAN","TEHERAN","875","667","147","18.06%"
"Denmark","ITALY","ROME","3","1","1","50.00%"
"Denmark","KENYA","NAIROBI","1,262","788","355","31.06%"
"Denmark","LATVIA","RIGA","6","6","0",""
"Denmark","LEBANON","BEIRUT","762","448","281","38.55%"
"Denmark","MALI","BAMAKO","114","35","71","66.98%"
"Denmark","MEXICO","MEXICO CITY","52","44","5","10.20%"
"Denmark","NETHERLANDS","THE HAGUE","2","1","0",""
"Denmark","NIGERIA","ABUJA","722","169","531","75.86%"
"Denmark","NORWAY","OSLO","7","7","0",""
"Denmark","PAKISTAN","ISLAMABAD","1,484","460","919","66.64%"
"Denmark","PHILIPPINES","MANILA","2,656","2,413","192","7.37%"
"Denmark","POLAND","WARSAW","11","8","1","11.11%"
"Denmark","PORTUGAL","LISBON","8","7","0",""
"Denmark","RUSSIAN FEDERATION","MOSCOW","2,027","1,897","52","2.67%"
"Denmark","SAUDI ARABIA","RIYADH","329","275","29","9.54%"
"Denmark","SINGAPORE","SINGAPORE","387","369","6","1.60%"
"Denmark","SOUTH AFRICA","PRETORIA","1","1","0",""
"Denmark","SPAIN","MADRID","9","9","0",""
"Denmark","SWEDEN","STOCKHOLM","24","21","4","16.00%"
"Denmark","THAILAND","BANGKOK","1,710","1,169","425","26.66%"
"Denmark","TURKEY","ANKARA","2,995","2,076","694","25.05%"
"Denmark","UKRAINE","KYIV","3","3","0",""
"Denmark","UNITED ARAB EMIRATES","DUBAI","1,881","1,297","444","25.50%"
"Denmark","UNITED KINGDOM","LONDON","2,055","1,790","116","6.09%"
"Denmark","USA","NEW YORK, NY","848","721","35","4.63%"
"Estonia","AUSTRALIA","CANBERRA","4","2","2","50.00%"
"Estonia","BELARUS","MINSK","4,885","4,823","52","1.07%"
"Estonia","CANADA","OTTAWA","13","13","0",""
"Estonia","CHINA","BEIJING","6","5","0",""
"Estonia","EGYPT","CAIRO","72","62","10","13.89%"
"Estonia","GEORGIA","TBILISSI","200","192","8","4.00%"
"Estonia","INDIA","NEW DELHI","181","160","21","11.60%"
"Estonia","IRELAND","DUBLIN","39","35","4","10.26%"
"Estonia","ISRAEL","TEL AVIV","5","4","1","20.00%"
"Estonia","JAPAN","TOKYO","2","2","0",""
"Estonia","KAZAKHSTAN","NUR-SULTAN","412","377","24","5.99%"
"Estonia","RUSSIAN FEDERATION","MOSCOW","8,220","7,699","505","6.16%"
"Estonia","RUSSIAN FEDERATION","PSKOV","1,118","1,105","6","0.54%"
"Estonia","RUSSIAN FEDERATION","ST. PETERSBURG","23,268","22,856","402","1.73%"
"Estonia","TURKEY","ANKARA","1,859","757","1,102","59.28%"
"Estonia","UKRAINE","KYIV","127","75","52","40.94%"
"Estonia","UNITED KINGDOM","LONDON","180","167","10","5.65%"
"Estonia","USA","NEW YORK, NY","51","40","11","21.57%"
"Estonia","USA","SAN FRANCISCO, CA","15","15","0",""
"Finland","ALGERIA","ALGIERS","73","20","40","66.67%"
"Finland","ARGENTINA","BUENOS AIRES","1","0","0",""
"Finland","AUSTRALIA","CANBERRA","5","5","0",""
"Finland","BULGARIA","SOFIA","60","52","3","5.45%"
"Finland","CHILE","SANTIAGO DE CHILE","2","1","1","50.00%"
"Finland","CHINA","BEIJING","250","224","6","2.61%"
"Finland","CHINA","SHANGHAI","288","273","10","3.53%"
"Finland","CYPRUS","NICOSIA","61","46","15","24.59%"
"Finland","EGYPT","CAIRO","418","264","60","18.52%"
"Finland","ETHIOPIA","ADDIS ABEBA","80","58","10","14.71%"
"Finland","GERMANY","BERLIN","5","1","0",""
"Finland","HONG KONG S.A.R.","HONG KONG","53","29","18","38.30%"
"Finland","INDIA","NEW DELHI","376","266","66","19.88%"
"Finland","INDONESIA","JAKARTA","590","509","48","8.62%"
"Finland","IRAN","TEHERAN","393","231","104","31.04%"
"Finland","IRELAND","DUBLIN","90","84","2","2.33%"
"Finland","ISRAEL","TEL AVIV","49","31","12","27.91%"
"Finland","JAPAN","TOKYO","12","10","1","9.09%"
"Finland","KENYA","NAIROBI","291","175","77","30.56%"
"Finland","KOSOVO","PRISTINA","1,561","1,292","176","11.99%"
"Finland","LITHUANIA","VILNIUS","1","0","0",""
"Finland","MALAYSIA","KUALA LUMPUR","23","15","6","28.57%"
"Finland","MEXICO","MEXICO CITY","4","3","1","25.00%"
"Finland","MOROCCO","RABAT","267","75","166","68.88%"
"Finland","MOZAMBIQUE","MAPUTO","10","6","4","40.00%"
"Finland","NAMIBIA","WINDHOEK","80","70","4","5.41%"
"Finland","NEPAL","KATHMANDU","214","143","45","23.94%"
"Finland","NIGERIA","ABUJA","393","114","240","67.80%"
"Finland","PERU","LIMA","3","1","2","66.67%"
"Finland","PHILIPPINES","MANILA","542","268","241","47.35%"
"Finland","RUSSIAN FEDERATION","MOSCOW","6,577","6,267","168","2.61%"
"Finland","RUSSIAN FEDERATION","MURMANSK","1,134","1,078","6","0.55%"
"Finland","RUSSIAN FEDERATION","PETROZAVODSK","6,473","6,345","40","0.63%"
"Finland","RUSSIAN FEDERATION","ST. PETERSBURG","32,275","30,918","157","0.51%"
"Finland","SAUDI ARABIA","RIYADH","54","53","0",""
"Finland","SERBIA","BELGRADE","11","11","0",""
"Finland","SOUTH AFRICA","PRETORIA","233","206","13","5.94%"
"Finland","SOUTH KOREA","SEOUL","7","7","0",""
"Finland","TANZANIA","DAR ES SALAAM","67","44","23","34.33%"
"Finland","THAILAND","BANGKOK","4,060","3,836","197","4.88%"
"Finland","TUNISIA","TUNIS","399","175","145","45.31%"
"Finland","TURKEY","ANKARA","1,506","995","431","30.22%"
"Finland","UKRAINE","KYIV","18","14","3","17.65%"
"Finland","UNITED ARAB EMIRATES","ABU DHABI","586","372","135","26.63%"
"Finland","UNITED KINGDOM","LONDON","1,089","1,032","31","2.92%"
"Finland","USA","LOS ANGELES, CA","75","59","9","13.24%"
"Finland","USA","NEW YORK, NY","173","141","20","12.42%"
"Finland","VIETNAM","HANOI","86","63","9","12.50%"
"France","AFGHANISTAN","KABUL","225","269","0",""
"France","ALBANIA","TIRANA","33","34","1","2.86%"
"France","ALGERIA","ALGIERS","51,821","25,664","17,871","41.05%"
"France","ALGERIA","ANNABA","17,107","8,723","6,971","44.42%"
"France","ALGERIA","ORAN","20,013","10,044","7,115","41.47%"
"France","ANGOLA","LUANDA","1,050","706","294","29.40%"
"France","ARGENTINA","BUENOS AIRES","33","29","2","6.45%"
"France","ARMENIA","YEREVAN","1,930","1,664","215","11.44%"
"France","AUSTRALIA","SYDNEY","119","90","10","10.00%"
"France","AUSTRIA","VIENNA","1","1","0",""
"France","AZERBAIJAN","BAKU","3,498","2,897","178","5.79%"
"France","BAHRAIN","MANAMA","2,038","1,896","97","4.87%"
"France","BANGLADESH","DHAKA","1,051","954","125","11.58%"
"France","BELARUS","MINSK","1,336","1,299","4","0.31%"
"France","BELGIUM","BRUSSELS","12","6","3","33.33%"
"France","BENIN","COTONOU","4,078","3,136","835","21.03%"
"France","BOLIVIA","LA PAZ","50","40","5","11.11%"
"France","BOSNIA AND HERZEGOVINA","SARAJEVO","23","20","1","4.76%"
"France","BRAZIL","BRASILIA","25","22","1","4.35%"
"France","BRAZIL","RIO DE JANEIRO","16","15","0",""
"France","BRAZIL","SAO PAULO","35","28","2","6.67%"
"France","BULGARIA","SOFIA","148","140","4","2.78%"
"France","BURKINA FASO","OUAGADOUGOU","4,451","3,248","856","20.86%"
"France","BURUNDI","BUJUMBURA","64","64","0",""
"France","CAMBODIA","PHNOM PENH","1,136","1,003","90","8.23%"
"France","CAMEROON","DOUALA","3,925","2,698","965","26.34%"
"France","CAMEROON","YAONDE","4,255","3,084","833","21.27%"
"France","CANADA","MONTREAL","2,346","2,119","135","5.99%"
"France","CENTRAL AFRICAN REPUBLIC","BANGUI","1,039","707","279","28.30%"
"France","CHAD","N'DJAMENA","2,552","1,950","536","21.56%"
"France","CHILE","SANTIAGO DE CHILE","145","69","70","50.36%"
"France","CHINA","BEIJING","3,487","3,460","61","1.73%"
"France","CHINA","CHENGDU","504","503","2","0.40%"
"France","CHINA","GUANGZHOU (CANTON)","652","577","15","2.53%"
"France","CHINA","SHANGHAI","450","363","50","12.11%"
"France","CHINA","SHENYANG","25","22","3","12.00%"
"France","CHINA","WUHAN","54","48","1","2.04%"
"France","COLOMBIA","BOGOTA","7","7","0",""
"France","COMOROS","MORONI","1,105","771","248","24.34%"
"France","COMOROS","MUTSAMUDU","80","44","31","41.33%"
"France","CONGO (BRAZZAVILLE)","BRAZZAVILLE","4,843","3,722","967","20.62%"
"France","CONGO (BRAZZAVILLE)","POINTE NOIRE","860","464","374","44.63%"
"France","CONGO (DEMOCRATIC REPUBLIC)","KINSHASA","3","2","0",""
"France","COTE D'IVOIRE","ABIDJAN","20,622","14,863","4,809","24.45%"
"France","CROATIA","ZAGREB","160","155","0",""
"France","CUBA","HAVANA","796","740","46","5.85%"
"France","CYPRUS","NICOSIA","334","270","27","9.09%"
"France","DJIBOUTI","DJIBOUTI","1,232","1,142","39","3.30%"
"France","DOMINICAN REPUBLIC","SANTO DOMINGO","1,170","950","205","17.75%"
"France","ECUADOR","QUITO","1,705","1,330","336","20.17%"
"France","EGYPT","CAIRO","22,586","17,360","2,729","13.58%"
"France","EQUATORIAL GUINEA","MALABO","178","179","1","0.56%"
"France","ETHIOPIA","ADDIS ABEBA","790","551","178","24.42%"
"France","FINLAND","HELSINKI","6","6","0",""
"France","FRANCE","PARIS","27","0","0",""
"France","GABON","LIBREVILLE","3,040","1,998","869","30.31%"
"France","GEORGIA","TBILISSI","101","89","5","5.32%"
"France","GERMANY","FRANKFURT/MAIN","26","21","2","8.70%"
"France","GHANA","ACCRA","1,509","1,091","361","24.86%"
"France","GREECE","ATHENS","2","2","0",""
"France","GUATEMALA","GUATEMALA CITY","16","14","0",""
"France","GUINEA","CONAKRY","3,815","2,079","1,520","42.23%"
"France","HAITI","PORT AU PRINCE","1,774","1,120","593","34.62%"
"France","HONG KONG S.A.R.","HONG KONG","228","168","52","23.64%"
"France","INDIA","BANGALORE","4,723","3,107","1,459","31.95%"
"France","INDIA","KOLKATA","1,957","1,427","452","24.06%"
"France","INDIA","MUMBAI","12,070","9,335","2,194","19.03%"
"France","INDIA","NEW DELHI","15,492","8,703","6,511","42.80%"
"France","INDIA","PONDICHERY","4,465","2,910","1,343","31.58%"
"France","INDONESIA","JAKARTA","2,655","2,192","301","12.07%"
"France","IRAN","TEHERAN","7,013","5,396","993","15.54%"
"France","IRAQ","BAGHDAD","3,598","1,570","1,809","53.54%"
"France","IRAQ","ERBIL","5,319","2,923","2,187","42.80%"
"France","IRELAND","DUBLIN","802","741","15","1.98%"
"France","ISRAEL","JERUSALEM","1,660","1,594","168","9.53%"
"France","ISRAEL","TEL AVIV","124","104","7","6.31%"
"France","ITALY","ROME","22","20","2","9.09%"
"France","JAPAN","TOKYO","101","86","6","6.52%"
"France","JORDAN","AMMAN","2,394","1,980","347","14.91%"
"France","KAZAKHSTAN","NUR-SULTAN","621","545","25","4.39%"
"France","KENYA","NAIROBI","1,207","1,146","29","2.47%"
"France","KUWAIT","KUWAIT","14,921","14,273","314","2.15%"
"France","LAOS","VIENTIANE","300","212","79","27.15%"
"France","LEBANON","BEIRUT","28,907","23,567","4,818","16.97%"
"France","MADAGASCAR","ANTANANARIVO","4,155","3,215","541","14.40%"
"France","MALAYSIA","KUALA LUMPUR","126","105","20","16.00%"
"France","MALI","BAMAKO","8,982","6,722","1,769","20.83%"
"France","MALTA","VALETTA","10","9","0",""
"France","MAURITANIA","NOUAKCHOTT","1,636","1,201","285","19.18%"
"France","MAURITIUS","PORT LOUIS","132","121","4","3.20%"
"France","MEXICO","MEXICO CITY","89","79","6","7.06%"
"France","MONGOLIA","ULAN BATOR","381","330","44","11.76%"
"France","MOROCCO","AGADIR","959","722","361","33.33%"
