"Country where consulate is located","Schengen State","Consulate","Uniform visas applied for","Multiple entry uniform visas (MEVs) issued","Total uniform visas not issued","Not issued rate for uniform visas"
"Armenia","Lithuania","Yerevan","4,307","3,809","286","7.0%"
"Usa","Luxembourg","New York, Ny","133","119","9","7.0%"
"Bulgaria","Poland","Sofia","411","381","29","7.0%"
"Usa","Poland","Los Angeles, Ca","440","406","31","7.0%"
"United Kingdom","Austria","London","2,729","2,525","191","7.0%"
"Mexico","Denmark","Mexico City","63","53","4","7.0%"
"Ghana","Norway","Accra","3,806","1,162","2,637","69.3%"
"Nigeria","Spain","Lagos","13,284","4,155","8,984","68.4%"
"Senegal","Netherlands","Dakar","2,076","638","1,374","68.2%"
"Nigeria","Belgium","Abuja","4,582","1,341","2,965","68.0%"
"Algeria","Netherlands","Algiers","4,771","1,546","3,126","66.8%"
"Ghana","Czech Republic","Accra","454","151","302","66.5%"
"Nigeria","Hungary","Abuja","640","217","423","65.5%"
"Nigeria","Denmark","Abuja","1,745","588","1,113","65.4%"
"Brazil","Portugal","Sao Paulo","240","83","157","65.4%"
"Brazil","Portugal","Salvador De Bahia","44","16","28","63.6%"
"Senegal","Greece","Dakar","169","62","107","63.3%"
"Ethiopia","Hungary","Addis Abeba","275","100","175","62.7%"
"Ukraine","Finland","Kyiv","12","3","5","62.5%"
"Egypt","Estonia","Cairo","406","152","252","62.4%"
"Gabon","Spain","Libreville","970","365","589","61.7%"
"Iran","Sweden","Teheran","7,116","2,348","3,583","60.3%"
"Germany","Sweden","Berlin","11","2","3","60.0%"
"South Korea","Spain","Seoul","270","229","17","6.9%"
"Albania","Austria","Tirana","50","39","6","6.9%"
"Saudi Arabia","Belgium","Riyadh","2,789","2,538","188","6.9%"
"Nigeria","Italy","Abuja","566","524","39","6.9%"
"Türkiye","Italy","Istanbul","66,344","61,645","4,596","6.9%"
"United Kingdom","Germany","Edinburgh","1,220","1,125","83","6.9%"
"Mozambique","Germany","Maputo","743","660","50","6.8%"
"Egypt","Greece","Alexandria","3,425","3,183","234","6.8%"
"Romania","Belgium","Bucharest","187","165","12","6.8%"
"Zambia","Czech Republic","Lusaka","192","179","13","6.8%"
"Kuwait","Poland","Kuwait","585","543","41","6.8%"
"Canada","Portugal","Montreal","280","261","19","6.8%"
"Belarus","Latvia","Vitsyebsk","4,435","4,129","295","6.7%"
"China","Hungary","Shanghai","950","886","64","6.7%"
"Mozambique","Portugal","Beira","1,321","1,232","88","6.7%"
"Egypt","Slovenia","Cairo","512","479","34","6.6%"
"Netherlands","Netherlands","Aruba","192","171","12","6.6%"
"Russian Federation","Estonia","Pskov","477","423","30","6.6%"
"Indonesia","France","Jakarta","36,681","32,565","2,295","6.6%"
"Usa","Portugal","Newark, Nj","632","591","41","6.5%"
"Usa","France","Washington, Dc","39,817","31,774","2,227","6.5%"
"Armenia","Germany","Yerevan","9,324","8,676","605","6.5%"
"Cyprus","Portugal","Nicosia","231","215","15","6.5%"
"Türkiye","Spain","Istanbul","21,537","19,339","1,335","6.4%"
"Usa","Switzerland","San Francisco, Ca","2,922","2,733","187","6.4%"
"Japan","Belgium","Tokyo","176","160","11","6.4%"
"Thailand","Finland","Bangkok","9,358","8,599","585","6.4%"
"Thailand","Portugal","Bangkok","1,746","1,635","110","6.3%"
"North Macedonia","Italy","Skopje","48","45","3","6.3%"
"Türkiye","Slovakia","Istanbul","1,336","1,251","83","6.2%"
"China","France","Beijing","8,503","6,989","460","6.2%"
"Namibia","Germany","Windhoek","2,784","2,546","169","6.2%"
"Russian Federation","Iceland","Moscow","198","181","12","6.2%"
"South Africa","France","Johannesburg","17,001","15,613","1,012","6.1%"
"Nigeria","Germany","Abuja","1,622","1,445","98","6.1%"
"Kazakhstan","Switzerland","Astana","3,021","2,833","184","6.1%"
"Singapore","Netherlands","Singapore","2,057","1,885","122","6.1%"
"China","Norway","Guangzhou (Canton)","330","310","20","6.1%"
"North Macedonia","Poland","Skopje","552","488","62","6.1%"
"Bulgaria","Czech Republic","Sofia","98","92","6","6.1%"
"Usa","Czech Republic","New York, Ny","342","321","21","6.1%"
"Kazakhstan","Estonia","Astana","988","918","60","6.1%"
"Hong Kong S.A.R.","France","Hong Kong","1,795","1,629","106","6.1%"
"South Africa","Belgium","Pretoria","3,121","2,723","173","6.0%"
"Singapore","Portugal","Singapore","579","542","35","6.0%"
"Kazakhstan","Germany","Astana","11,083","10,324","664","6.0%"
"Ukraine","Greece","Odesa","50","45","3","6.0%"
"Bulgaria","Hungary","Sofia","300","282","18","6.0%"
"China","Luxembourg","Shanghai","89","78","5","6.0%"
"Tunisia","Hungary","Tunis","517","210","307","59.4%"
"Brazil","Portugal","Brasilia","41","17","24","58.5%"
"Pakistan","Belgium","Islamabad","2,699","1,045","1,421","56.9%"
"Iraq","Czech Republic","Erbil","908","344","514","56.6%"
"Pakistan","Denmark","Islamabad","2,580","1,066","1,415","56.6%"
"Nigeria","Finland","Abuja","1,505","632","818","56.3%"
"India","Estonia","New Delhi","1,986","860","1,107","56.0%"
"Mali","Netherlands","Bamako","1,251","530","684","55.7%"
"Croatia","Netherlands","Zagreb","50","21","27","55.1%"
"Pakistan","Switzerland","Islamabad","3,192","1,315","1,758","55.1%"
"Syria","Austria","Damascus","358","153","197","55.0%"
"Jordan","Belgium","Amman","1,891","796","1,005","54.9%"
"Morocco","Finland","Rabat","857","378","456","54.6%"
"Iraq","Germany","Erbil","11,562","5,164","6,179","54.4%"
"Ukraine","Belgium","Kyiv","28","11","13","54.2%"
"Tunisia","Finland","Tunis","2,336","1,072","1,262","54.0%"
"Nigeria","Portugal","Abuja","1,579","605","852","54.0%"
"Ghana","Hungary","Accra","979","455","524","53.5%"
"Pakistan","Spain","Islamabad","17,981","6,480","7,936","52.9%"
"Sudan","Sweden","Khartoum","302","136","158","52.8%"
"Brazil","Portugal","Belo Horizonte","38","18","20","52.6%"
"Nigeria","Germany","Lagos","6,292","2,979","3,309","52.6%"
"Guinea-Bissau","Spain","Bissau","5,138","2,412","2,661","52.5%"
"Sri Lanka","Italy","Colombo","1,245","591","654","52.5%"
"Angola","Poland","Luanda","667","318","349","52.3%"
"Algeria","Portugal","Algiers","1,588","749","829","52.2%"
"Algeria","France","Algiers","134,764","60,431","66,111","52.2%"
"Türkiye","Estonia","Ankara","1,517","722","786","52.1%"
"Ghana","Netherlands","Accra","9,603","4,497","4,896","52.1%"
"Senegal","Portugal","Dakar","2,057","992","1,065","51.8%"
"North Macedonia","Germany","Skopje","64","30","33","51.6%"
"Angola","Netherlands","Luanda","691","328","349","51.6%"
"Algeria","France","Oran","64,054","29,927","31,759","51.5%"
"Israel","Sweden","Jerusalem","627","279","317","51.3%"
"Pakistan","Netherlands","Islamabad","6,291","2,901","3,087","50.7%"
"Ghana","Denmark","Accra","2,068","939","950","50.3%"
"Portugal","Belgium","Lisbon","10","5","5","50.0%"
"Brazil","France","Recife","2","1","1","50.0%"
"Hungary","Netherlands","Budapest","12","6","6","50.0%"
"Denmark","Norway","Copenhagen","2","1","1","50.0%"
"Netherlands","Norway","The Hague","2","1","1","50.0%"
"Spain","Portugal","Madrid","2","1","1","50.0%"
"Jordan","Switzerland","Amman","2,498","2,281","148","5.9%"
"Switzerland","Italy","Geneva","17","16","1","5.9%"
"South Korea","Czech Republic","Seoul","68","64","4","5.9%"
"Uruguay","Germany","Montevideo","18","16","1","5.9%"
"Croatia","Italy","Zagreb","757","712","45","5.9%"
"North Macedonia","Greece","Skopje","420","349","24","5.8%"
"China","France","Guangzhou (Canton)","6,028","5,212","321","5.8%"
"Indonesia","Czech Republic","Jakarta","1,018","960","58","5.7%"
"China","France","Shanghai","8,033","7,027","427","5.7%"
"Myanmar","France","Yangon","1,259","1,095","67","5.7%"
"Ukraine","Latvia","Kyiv","62","50","3","5.7%"
"Mexico","Netherlands","Mexico City","180","166","10","5.7%"
"Bulgaria","Slovenia","Sofia","35","30","2","5.7%"
"Singapore","France","Singapore","8,927","8,292","502","5.7%"
"China","Hungary","Chongqing","279","263","16","5.7%"
"Kazakhstan","Italy","Astana","15,609","14,713","885","5.7%"
"Bolivia","Germany","La Paz","1,507","1,411","84","5.6%"
"China","Poland","Shanghai","682","640","38","5.6%"
"Qatar","Poland","Doha","546","515","31","5.6%"
"Panama","France","Panama City","109","101","6","5.6%"
"Ukraine","Slovakia","Kyiv","20","17","1","5.6%"
"Iran","Slovenia","Teheran","493","406","24","5.6%"
"North Macedonia","Slovenia","Skopje","20","14","1","5.6%"
"Singapore","Spain","Singapore","2,648","2,446","144","5.6%"
"Mongolia","Italy","Ulan Bator","1,275","1,205","70","5.5%"
"Thailand","France","Bangkok","38,188","35,382","2,079","5.5%"
"Kosovo","Greece","Pristina","9,215","302","502","5.5%"
"Serbia","Hungary","Subotica","109","103","6","5.5%"
"India","Iceland","New Delhi","1,861","1,742","102","5.5%"
"China","Germany","Beijing","3,703","3,250","184","5.4%"
"Türkiye","Italy","Izmir","13,012","12,305","707","5.4%"
"Russian Federation","Lithuania","Moscow","2,187","2,046","116","5.4%"
"Romania","Switzerland","Bucharest","277","262","15","5.4%"
"Belarus","Estonia","Minsk","3,185","2,932","168","5.4%"
"Philippines","Italy","Manila","15,607","14,781","824","5.3%"
"Saudi Arabia","Italy","Jeddah","12,188","11,545","642","5.3%"
"Uzbekistan","Latvia","Tashkent","4,663","4,389","248","5.3%"
"China","Norway","Shanghai","301","285","16","5.3%"
"Indonesia","Portugal","Jakarta","2,637","2,496","141","5.3%"
"China","Greece","Shanghai","945","885","50","5.3%"
"Mexico","Greece","Mexico City","20","18","1","5.3%"
"China","Hungary","Beijing","1,476","1,398","78","5.3%"
"Serbia","Slovakia","Belgrade","19","18","1","5.3%"
"Colombia","Switzerland","Bogota","19","18","1","5.3%"
"Philippines","Switzerland","Manila","6,217","5,887","330","5.3%"
"Azerbaijan","Slovakia","Baku","322","294","16","5.2%"
"Russian Federation","Spain","Moscow","155,896","144,317","7,936","5.2%"
"South Africa","Italy","Johannesburg","15,925","15,095","830","5.2%"
"Vietnam","Italy","Ho Chi Minh","2,599","2,464","134","5.2%"
"Thailand","Luxembourg","Bangkok","352","326","18","5.2%"
"South Africa","Norway","Pretoria","3,612","3,423","188","5.2%"
"Thailand","Czech Republic","Bangkok","1,972","1,870","102","5.2%"
"Bahrain","Germany","Manama","7,714","7,296","398","5.2%"
"Mexico","Germany","Mexico City","159","147","8","5.2%"
"United Kingdom","Hungary","London","1,583","1,500","83","5.2%"
"Vietnam","France","Hanoi","20,381","18,738","1,046","5.1%"
"China","Germany","Shanghai","4,798","4,346","232","5.1%"
"United Kingdom","Switzerland","London","9,263","8,774","472","5.1%"
"China","Denmark","Beijing","60","56","3","5.1%"
"Qatar","Hungary","Doha","1,942","1,845","97","5.0%"
"Bangladesh","Netherlands","Dhaka","23","19","1","5.0%"
"Kazakhstan","Poland","Astana","1,252","1,189","63","5.0%"
"Usa","Sweden","Washington, Dc","2,441","2,869","150","5.0%"
"Qatar","Switzerland","Doha","7,578","7,095","377","5.0%"
"Senegal","Poland","Dakar","305","152","153","49.8%"
"Algeria","Germany","Algiers","6,096","2,860","2,846","49.5%"
"Iraq","Hungary","Erbil","778","395","383","49.0%"
"Syria","Poland","Damascus","198","100","97","49.0%"
"Senegal","Spain","Dakar","9,467","4,308","4,129","48.7%"
"Lebanon","Denmark","Beirut","1,036","484","492","48.6%"
"Angola","France","Luanda","1,907","951","893","48.4%"
"Ukraine","Portugal","Kyiv","64","33","31","48.4%"
"Uganda","Netherlands","Kampala","1,957","951","918","48.4%"
"Angola","Germany","Luanda","2,582","1,312","1,225","48.3%"
"Sri Lanka","France","Colombo","8,728","4,436","4,118","48.1%"
"Sri Lanka","Germany","Colombo","2,462","1,271","1,164","47.8%"
"Algeria","France","Annaba","41,109","19,732","17,937","47.6%"
"Ethiopia","Czech Republic","Addis Abeba","362","190","172","47.5%"
"Malaysia","Czech Republic","Kuala Lumpur","80","42","38","47.5%"
"Cameroon","Belgium","Yaonde","5,098","2,532","2,263","47.2%"
"Brazil","Portugal","Rio De Janeiro","89","47","42","47.2%"
"Ghana","Spain","Accra","6,081","3,118","2,797","47.2%"
"Ethiopia","Sweden","Addis Abeba","39","24","21","46.7%"
"Tunisia","Czech Republic","Tunis","707","374","330","46.7%"
"Ghana","Switzerland","Accra","4,077","2,182","1,895","46.5%"
"Angola","Belgium","Luanda","1,353","670","581","46.3%"
"Angola","Hungary","Luanda","300","161","139","46.3%"
"Panama","Portugal","Panama City","26","14","12","46.2%"
"Ukraine","Netherlands","Kyiv","42","20","18","46.2%"
"Guinea","France","Conakry","9,264","4,779","4,077","46.0%"
"Haiti","France","Port Au Prince","5,052","2,685","2,283","46.0%"
"Senegal","Germany","Dakar","2,367","1,265","1,070","45.8%"
"Nigeria","Poland","Abuja","777","411","363","45.5%"
"Jordan","Czech Republic","Amman","1,700","915","771","45.4%"
"Iraq","France","Baghdad","6,863","3,634","3,032","45.3%"
"Algeria","Czech Republic","Algiers","478","262","215","45.0%"
"India","Malta","New Delhi","1,220","628","516","45.0%"
"Tunisia","Malta","Tunis","1,184","648","528","44.9%"
"Algeria","Belgium","Algiers","6,005","3,078","2,503","44.8%"
"India","Slovenia","New Delhi","2,732","1,493","1,199","44.5%"
"Ukraine","Sweden","Kyiv","9","5","4","44.4%"
"Cuba","Germany","Havana","3,782","2,091","1,668","44.3%"
"Congo (Brazzaville)","France","Pointe Noire","3,100","1,693","1,346","44.3%"
"Mali","Denmark","Bamako","363","196","155","44.2%"
"Nigeria","France","Abuja","16,274","9,087","7,156","44.0%"
"Cuba","Netherlands","Havana","1,945","1,058","837","44.0%"
"Lebanon","Netherlands","Beirut","2,968","1,536","1,252","44.0%"
"Albania","Czech Republic","Tirana","16","8","7","43.8%"
"Cameroon","Italy","Yaonde","3,225","1,811","1,413","43.8%"
"Lebanon","Belgium","Beirut","2,017","1,078","845","43.6%"
"Serbia","Belgium","Belgrade","82","39","30","43.5%"
"Algeria","Italy","Algiers","17,824","9,943","7,738","43.4%"
"Egypt","Malta","Cairo","1,754","962","732","43.1%"
"Malaysia","Hungary","Kuala Lumpur","86","49","37","43.0%"
"Congo (Democratic Republic)","Spain","Kinshasa","3,276","613","1,268","43.0%"
"Sweden","Portugal","Stockholm","7","4","3","42.9%"
"Brazil","France","Sao Paulo","177","93","69","42.6%"
"Nepal","Germany","Kathmandu","4,036","2,314","1,703","42.4%"
"Morocco","France","Casablanca","54,131","30,328","22,265","42.3%"
"Egypt","Slovakia","Cairo","718","388","286","42.2%"
"Angola","Spain","Luanda","4,071","2,160","1,575","42.2%"
"Iraq","France","Erbil","8,800","4,961","3,608","42.1%"
"Kenya","Finland","Nairobi","862","491","355","41.7%"
"Mali","France","Bamako","19,050","10,613","7,565","41.6%"
"Pakistan","Portugal","Islamabad","1,285","669","534","41.6%"
"Congo (Democratic Republic)","Switzerland","Kinshasa","1,120","641","465","41.5%"
"Iran","Slovakia","Teheran","211","123","87","41.4%"
"India","Lithuania","New Delhi","985","573","405","41.4%"
"Morocco","Spain","Nador","27,649","14,961","10,594","41.3%"
"Algeria","Spain","Algiers","61,489","34,039","23,816","41.2%"
"United Arab Emirates","Hungary","Abu Dhabi","5,481","3,220","2,261","41.2%"
"Algeria","Greece","Algiers","688","405","283","41.1%"
"Bangladesh","Italy","Dhaka","11,111","6,525","4,554","41.0%"
"Sudan","France","Khartoum","2,089","1,224","858","40.9%"
"Iraq","Poland","Erbil","578","317","239","40.9%"
"Algeria","Spain","Oran","41,167","22,440","16,128","40.8%"
"Cape Verde","Spain","Cidade Da Praia","1,862","1,130","771","40.6%"
"Algeria","Austria","Algiers","2,047","1,213","831","40.6%"
"Türkiye","Finland","Ankara","4,073","2,263","1,558","40.6%"
"Tunisia","Belgium","Tunis","3,472","1,893","1,286","40.5%"
"Tunisia","Spain","Tunis","17,266","9,776","6,720","40.5%"
"Bangladesh","Sweden","Dhaka","7,953","4,568","3,111","40.5%"
"Jordan","Sweden","Amman","1,214","702","482","40.2%"
"Peru","Portugal","Lima","11","6","4","40.0%"
"Argentina","Czech Republic","Buenos Aires","5","3","2","40.0%"
"Poland","Denmark","Warsaw","9","1","2","40.0%"
"Algeria","Finland","Algiers","522","308","205","40.0%"
"Canada","Portugal","Vancouver","185","174","9","4.9%"
"Japan","Greece","Tokyo","146","137","7","4.9%"
"Ukraine","Hungary","Berehove","147","140","7","4.8%"
"Bosnia And Herzegovina","Italy","Sarajevo","84","80","4","4.8%"
"Azerbaijan","Latvia","Baku","3,807","3,562","180","4.8%"
"Usa","Austria","Washington, Dc","484","459","23","4.8%"
"Usa","Czech Republic","Los Angeles, Ca","249","237","12","4.8%"
"Romania","Austria","Bucharest","193","181","9","4.7%"
"Bahrain","France","Manama","5,530","5,247","261","4.7%"
"Colombia","France","Bogota","49","41","2","4.7%"
"Mozambique","Netherlands","Maputo","754","709","35","4.7%"
"Taiwan","Germany","Taipei","174","163","8","4.7%"
"United Kingdom","Germany","London","19,542","18,340","917","4.7%"
"Saudi Arabia","Greece","Riyadh","10,746","9,957","491","4.7%"
"Türkiye","Greece","Izmir","44,568","42,239","2,100","4.7%"
"Kosovo","Slovakia","Pristina","135","121","12","4.7%"
"Zimbabwe","Spain","Harare","857","771","37","4.6%"
"Indonesia","Belgium","Jakarta","402","375","18","4.6%"
"Usa","Belgium","Los Angeles, Ca","557","489","23","4.5%"
"Usa","Belgium","New York, Ny","1,168","1,014","48","4.5%"
"Vietnam","Belgium","Hanoi","1,429","1,319","62","4.5%"
"Indonesia","Denmark","Jakarta","4,072","3,777","176","4.5%"
"Kuwait","France","Kuwait","39,165","36,174","1,729","4.5%"
"Mauritius","France","Port Louis","657","597","28","4.5%"
"Philippines","Spain","Manila","17,203","16,306","772","4.5%"
"Vietnam","Switzerland","Ho Chi Minh","4,645","4,249","207","4.5%"
"China","Luxembourg","Beijing","76","64","3","4.5%"
"Costa Rica","Germany","San Jose","25","20","1","4.5%"
"Singapore","Germany","Singapore","5,099","4,856","227","4.5%"
"Ukraine","Hungary","Kyiv","200","191","9","4.5%"
"Ukraine","Hungary","Uzhhorod","424","405","19","4.5%"
"Kosovo","Italy","Pristina","4,039","3,856","183","4.5%"
"Oman","Germany","Muscat","8,511","8,114","378","4.4%"
"Canada","Hungary","Ottawa","179","171","8","4.4%"
"Thailand","Hungary","Bangkok","1,020","975","45","4.4%"
"Germany","Italy","Frankfurt/Main","45","43","2","4.4%"
"Japan","Portugal","Tokyo","69","65","3","4.4%"
"Israel","Slovenia","Tel Aviv","75","63","3","4.4%"
"Serbia","Switzerland","Belgrade","1,311","1,251","58","4.4%"
"Oman","Austria","Muscat","1,914","1,830","84","4.4%"
"Moldova","Czech Republic","Chisinau","749","716","33","4.4%"
"Russian Federation","Luxembourg","Moscow","980","891","42","4.4%"
"Usa","Portugal","Boston, Ma","276","264","12","4.3%"
